Status,Story ID,Title,Type,Epic,Priority,Category,Assignees,Milestone,Start Date,Target Date,Issue #,Repository,URL
Done,,Household Setup Low Fid,Issue,,,UX / UI,Jam577,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-08-30,2026-09-09,54,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/54
Done,,Dashboard Low Fid,Issue,,,UX / UI,Jam577,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-08-30,2026-09-09,55,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/55
Done,,Dashboard Mid-High Fid,Issue,,,UX / UI,,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-09-09,2026-09-12,56,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/56
Done,,Authentication Mid-High Fid,Issue,,,UX / UI,Fbature,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-09-09,2026-09-12,57,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/57
Done,,Household Setup Mid-High Fid,Issue,,,UX / UI,Jam577,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-09-09,2026-09-12,58,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/58
Done,,Resource tracking Low Fid,Issue,,,UX / UI,,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-08-30,2026-09-09,59,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/59
Done,,Resource Tracking Mid-High Fid,Issue,,,UX / UI,,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-09-09,2026-09-12,60,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/60
Done,,Recommendations Low Fid,Issue,,,UX / UI,Jam577,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-08-30,2026-09-09,61,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/61
Done,,Recommendation Mid-High Fid,Issue,,,UX / UI,Jam577,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-09-09,2026-09-12,62,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/62
Done,,Scenario Simulator Low Fid,Issue,,,UX / UI,Fbature,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-08-30,2026-09-09,63,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/63
Done,,Scenario Simulator Mid-High Fid,Issue,,,UX / UI,Fbature,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-09-09,2026-09-12,64,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/64
Done,,Household Management Low Fid,Issue,,,UX / UI,Jam577,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-08-30,2026-09-09,65,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/65
Done,,Household Management Mid-High Fid,Issue,,,UX / UI,,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-09-09,2026-09-12,66,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/66
Done,,Account Low Fid,Issue,,,UX / UI,Jam577,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-08-30,2026-09-09,67,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/67
Done,,Account Mid-High Fid,Issue,,,UX / UI,,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-09-09,2026-09-12,68,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/68
Done,,Determine Style sheets,Issue,,,CAB302 Team,,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-08-26,2026-09-02,69,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/69
Done,,Determine Colour Pallet,Issue,,,CAB302 Team,,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-08-26,2026-09-02,70,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/70
Done,,Determine Architecture Map,Issue,,,CAB302 Team,Fbature,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-09-02,2026-09-06,71,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/71
Done,,Develop User Stories,Issue,,,CAB302 Team,,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-08-19,2026-08-26,72,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/72
Done,,Database Mapping ORM,Issue,,Must,,Enduser101,,,,73,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/73
Done,,Object mapping and interactions,Issue,,Must,,,,,,74,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/74
Done,,Maths function mapping,Issue,,Must,,Fbature,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),,,75,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/75
Done,,Create UML Draft,Issue,,,,lifeisthing,,,,76,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/76
Done,,ER Draft,Issue,,,,Enduser101,,,,77,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/77
Done,,UML Final,Issue,,,,lifeisthing,,,,78,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/78
Done,,ER Final,Issue,,,,Enduser101,,,,79,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/79
Done,,Release 1: Auth and household features,PullRequest,,,CAB302 Team,Enduser101,CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points),2026-09-09,2026-09-16,81,Enduser101/CAB302_Wed_5pm_Group3,https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/81
