Title	URL	Assignees	Status	Linked pull requests	Sub-issues progress	Labels	Milestone
ER Final	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/79	Enduser101	Done	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/2		documentation	
UML Final	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/78	lifeisthing	Done			documentation	
Determine Style sheets	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/69		Done			documentation	CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Determine Colour Pallet	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/70		Done			documentation	CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
ER Draft	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/77	Enduser101	Done			documentation	
Develop User Stories	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/72		Done			documentation	CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Create UML Draft	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/76	lifeisthing	Done			documentation	
UI - Recommendations	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/49		Done		2 / 2 (100%)		CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
UI - Dashboard	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/47		Done	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/2	2 / 2 (100%)		CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
UI - Scenario Simulator	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/50	Fbature	Done	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/2	2 / 2 (100%)		CAB302 Assessment 2: Project Progress and Performance (Submission 2 - week 11 - 25 points)
UI - Household Management	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/51		Done	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/2	2 / 2 (100%)		CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
UI - Resource Tracking	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/48		Done	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/2	2 / 2 (100%)		CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
UI - Account	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/52		Done	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/2	2 / 2 (100%)		CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Determine Architecture Map	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/71	Fbature	Done		2 / 2 (100%)		CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
UI - Authentication	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/45	Fbature	Done	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/2	2 / 2 (100%)		CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
UI - Household Setup	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/46	Jam577	Done	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/2	2 / 2 (100%)		CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Resource Tracking Mid-High Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/60		Done				CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Dashboard Mid-High Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/56		Done				CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Resource tracking Low Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/59		Done				CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Account Mid-High Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/68		Done				CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Define Project Timeline	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/1	8ound, Enduser101, Fbature, Jam577, lifeisthing	Done				Project Definition Deadline
Account Low Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/67	Jam577	Done				CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Household Management Mid-High Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/66		Done				CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Household Management Low Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/65	Jam577	Done				CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Scenario Simulator Mid-High Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/64	Fbature	Done				CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Authentication Mid-High Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/57	Fbature	Done				CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Dashboard Low Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/55	Jam577	Done				CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Recommendation Mid-High Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/62	Jam577	Done				CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Household Setup Mid-High Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/58	Jam577	Done				CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Authentication Low Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/53	Fbature	Done				CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Household Setup Low Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/54	Jam577	Done				CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Recommendations Low Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/61	Jam577	Done				CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Scenario Simulator Low Fid	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/issues/63	Fbature	Done				CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
Release 1: Auth and household features	https://github.com/Enduser101/CAB302_Wed_5pm_Group3/pull/81	Enduser101	Done				CAB302 Assessment 2: Project Progress and Performance (Submission 1 - week 9 - 25 points)
